,name,city,country,passengers,lng,lat
0,Indira Gandhi International Airport,Delhi,Delhi,67301016,77.2219388,28.6517178
1,Chhatrapati Shivaji Maharaj International Airport,Mumbai,Maharashtra,45873329,72.8773928,19.0759899
2,Kempegowda International Airport,Bengaluru,Karnataka,32361666,77.5912997,12.9791198
3,Chennai International Airport,Chennai,Tamil Nadu,22266722,80.270186,13.0836939
4,Netaji Subhas Chandra Bose International Airport,Kolkata,West Bengal,22015391,88.3638815,22.5726723
5,Rajiv Gandhi International Airport,Hyderabad,Telangana,21651878,78.4610647,17.3887859
6,Sardar Vallabhbhai Patel International Airport,Ahmedabad,Gujarat,11432996,72.5797068,23.0216238
7,Cochin International Airport,Kochi,Kerala,9624334,76.2673759,9.9313695
8,Goa International Airport,Dabolim,Goa,8356240,73.8514049,15.3865713
9,Pune Airport,Pune,Maharashtra,8085607,73.8544541,18.521428
10,Lokpriya Gopinath Bordoloi International Airport,Guwahati,Assam,5457449,91.753943,26.1805978
11,Chaudhary Charan Singh International Airport,Lucknow,Uttar Pradesh,5433757,80.9346001,26.8381
12,Jaipur International Airport,Jaipur,Rajasthan,5031561,75.820349,26.916194
13,Jaya Prakash Narayan Airport,Patna,Bihar,4525765,85.1235252,25.6093239
14,Trivandrum International Airport,Thiruvananthapuram,Kerala,3919193,76.9360573,8.5241122
15,Biju Patnaik International Airport,Bhubaneswar,Odisha,3672246,85.8435592,20.2667774
16,Calicut International Airport,Kozhikode,Kerala,3229910,75.7788735,11.2586082
17,Bagdogra International Airport,Siliguri,West Bengal,3216640,88.4309916,26.7164127
18,Dr. Babasaheb Ambedkar International Airport,Nagpur,Maharashtra,3061548,79.0820556,21.1498134
19,Lal Bahadur Shastri Airport,Varanasi,Uttar Pradesh,3010702,83.0076292,25.3356491
20,Devi Ahilyabai Holkar International Airport,Indore,Madhya Pradesh,2918971,75.8681996,22.7203616
21,Coimbatore International Airport,Coimbatore,Tamil Nadu,2842835,76.9628425,11.0018115
22,Sheikh ul-Alam International Airport,Srinagar,Jammu and Kashmir (union territory),2820924,74.80298,34.08842
23,Visakhapatnam International Airport,Visakhapatnam,Andhra Pradesh,2681283,83.3012842,17.7231276
24,Birsa Munda Airport,Ranchi,Jharkhand,2485293,85.3250132,23.3700354
25,Sri Guru Ram Dass Jee International Airport,Amritsar,Punjab,2457615,74.8736788,31.6343083
26,Chandigarh International Airport,Chandigarh,Chandigarh,2445202,76.7797143,30.7334421
27,Swami Vivekananda Airport,Raipur,Chhattisgarh,2119417,81.6336833,21.2379469
28,Mangalore International Airport,Mangalore,Karnataka,1876294,74.8430082,12.8698101
29,Veer Savarkar International Airport,Port Blair,Andaman and Nicobar Islands,1658661,92.7390448,11.6645348
30,Tiruchirappalli International Airport,Tiruchirappalli,Tamil Nadu,1612492,78.6870296,10.804973
31,Kannur International Airport,Kannur,Kerala,1583600,75.3738043,11.8762254
32,Surat International Airport,Surat,Gujarat,1515557,72.8081281,21.1864607
33,Agartala Airport,Agartala,Tripura,1506435,91.2823821,23.8312377
34,Jammu Airport,Jammu,Jammu and Kashmir (union territory),1455433,74.86911,32.73569
35,Madurai Airport,Madurai,Tamil Nadu,1422337,78.1140983,9.9261153
36,Raja Bhoj Airport,Bhopal,Madhya Pradesh,1331322,77.401989,23.2584857
37,Jolly Grant Airport,Dehradun,Uttarakhand,1325931,78.0436813,30.3255646
38,Imphal Airport,Imphal,Manipur,1285860,93.9369998,24.8006088
39,Maharana Pratap Airport,Udaipur,Rajasthan,1249617,73.6862571,24.578721
40,Vijayawada International Airport,Vijayawada,Andhra Pradesh,1130583,80.6185102,16.5087586
41,Vadodara Airport,Vadodara,Gujarat,1104061,73.1942567,22.2973142
42,Tirupati Airport,Tirupati,Andhra Pradesh,834984,79.4231711,13.6316368
43,Leh Kushok Bakula Rimpochee Airport,Leh,Ladakh,763042,77.5848133,34.1642029
44,Gorakhpur Airport,Gorakhpur,Uttar Pradesh,665703,83.3645828,26.6713286
45,Shirdi Airport,Shirdi,Maharashtra,568968,74.4754386,19.7668121
46,Jodhpur Airport,Jodhpur,Rajasthan,568716,73.0351433,26.2967719
47,Dibrugarh Airport,Dibrugarh,Assam,531993,94.9019447,27.4844597
48,Hubli Airport,Hubli,Karnataka,475218,75.1379848,15.3518378
49,Allahabad Airport,Prayagraj,Uttar Pradesh,414064,81.8338005,25.4381302
