,name,city,country,passengers,lng,lat
0,Hartsfield–Jackson Atlanta International Airport,Atlanta,United States,0.06310217693173799,-84.3902644,33.7489924
1,Los Angeles International Airport,Los Angeles,United States,0.051433121917594644,-118.242766,34.0536909
2,O'Hare International Airport,Chicago,United States,0.04891305924382482,-87.6244212,41.8755616
3,Dallas/Fort Worth International Airport,Dallas-Fort Worth,United States,0.04060892393866398,-97.3135971,32.7476308
4,Denver International Airport,Denver,United States,0.03789550050934367,-104.9848623,39.7392364
5,John F. Kennedy International Airport,New York City,United States,0.036208653223264865,-74.0060152,40.7127281
6,San Francisco International Airport,San Francisco,United States,0.0339259689895172,-122.4199061,37.7790262
7,McCarran International Airport,Las Vegas,United States,0.02929836562462123,-115.1485163,36.1672559
8,Seattle–Tacoma International Airport,Seattle-Tacoma,United States,0.02929039221540158,-122.3080159,47.4475673
9,Toronto Pearson International Airport,Toronto,Canada,0.029089381217548976,-79.3839347,43.6534817
10,Orlando International Airport,Orlando,United States,0.028025403498001842,-81.3790304,28.5421109
11,Charlotte Douglas International Airport,Charlotte,United States,0.02729152727045297,-80.8430827,35.2272086
12,Newark Liberty International Airport,Newark,United States,0.026941211981551666,-74.1723667,40.735657
13,Miami International Airport,Miami,United States,0.02646696629281325,-80.19362,25.7741728
14,Phoenix Sky Harbor International Airport,Phoenix,United States,0.026407840848735414,-112.0741417,33.4484367
15,George Bush Intercontinental Airport,Houston,United States,0.0257402678962907,-95.3676974,29.7589382
16,Logan International Airport,Boston,United States,0.024099127576297903,-71.0582912,42.3602534
17,Minneapolis–Saint Paul International Airport,Minneapolis-Saint Paul,United States,0.022390990641268805,-93.0554922,44.9227049
18,Fort Lauderdale-Hollywood International Airport,Fort Lauderdale,United States,0.02113122077579898,-80.1433786,26.1223084
19,Detroit Metropolitan Airport,Detroit,United States,0.02070423266677448,-83.0466403,42.3315509
20,Philadelphia International Airport ,Philadelphia,United States,0.01862143951061614,-75.1635262,39.9527237
21,LaGuardia Airport,New York City,United States,0.017682562055147556,-74.0060152,40.7127281
22,Baltimore–Washington International Airport,Baltimore-Washington,United States,0.015941327539578033,-76.610759,39.2908816
23,Vancouver International Airport,Vancouver,Canada,0.015286131880074503,-123.1139529,49.2608724
24,Salt Lake City International Airport,Salt Lake City,United States,0.015015065932993388,-111.8867975,40.7596198
25,San Diego International Airport,San Diego,United States,0.01424184854005752,-117.1627728,32.7174202
26,Dulles International Airport,Washington,United States,0.014046175084529992,-76.9879976,38.8937936
27,Ronald Reagan Washington National Airport,Washington,United States,0.013767242079523906,-76.9879976,38.8937936
28,Midway International Airport,Chicago,United States,0.012942974302414815,-87.6244212,41.8755616
29,Tampa International Airport,Tampa,United States,0.012509139167772293,-82.458444,27.9477595
30,Portland International Airport,Portland,United States,0.011682653290456558,-122.6741949,45.5202471
31,Montréal-Trudeau International Airport,Montréal,Canada,0.011413954687940361,-73.6103642,45.4972159
32,Calgary International Airport,Calgary,Canada,0.010190570479502715,-114.0625892,51.0534234
33,Dallas Love Field,Dallas,United States,0.009535863095832754,-96.7968559,32.7762719
34,Nashville International Airport,Nashville,United States,0.009398886153747076,-86.7743531,36.1622296
35,Austin–Bergstrom International Airport,Austin,United States,0.009295403993722268,-97.7436995,30.2711286
36,St. Louis Lambert International Airport,St. Louis,United States,0.009185335691918312,-90.1998378,38.6264178
37,William P. Hobby Airport,Houston,United States,0.008506028842486394,-95.3676974,29.7589382
38,San Jose International Airport,San Jose,United States,0.008413675375948698,-121.890583,37.3361905
39,Oakland International Airport,Oakland,United States,0.00798765853040541,-122.2713563,37.8044557
40,Louis Armstrong New Orleans International Airport,New Orleans,United States,0.0077106228089933,-90.0701156,29.9499323
41,Raleigh–Durham International Airport,Raleigh,United States,0.007521972651947898,-78.6390989,35.7803977
42,Sacramento International Airport,Sacramento,United States,0.007080741695503776,-121.4938951,38.5810606
43,Kansas City International Airport,Kansas City,United States,0.006963271108559871,-94.5781416,39.100105
44,John Wayne Airport,Orange County,United States,0.006265935070587373,-117.8704931,33.7500378
