,name,city,country,passengers,lng,lat
0,Jinnah International Airport,Karachi,KHI,6212485,67.1594188,24.900819
1,Islamabad International Airport,Islamabad-Rawalpindi,ISB,5140585,73.1213604,33.5637102
2,Allama Iqbal International Airport,Lahore,LHE,4490182,74.34361,31.54972
3,Bacha Khan International Airport,Peshawar,PEW,1402223,71.57849,34.008
4,Multan International Airport,Multan,MUX,997978,71.471064,30.216093
5,Sialkot International Airport,Sialkot,SKT,650058,74.5405498,32.5193818
6,Faisalabad International Airport,Faisalabad,LYP,360524,72.9931722,31.3656335
7,Quetta International Airport,Quetta,UET,366209,67.0172447,30.1957677
8,Sukkur Airport,Sukkur,SKZ,93592,68.7942765,27.7210023
9,Shaikh Zayed International Airport ,Rahim Yar Khan,RYK,53970,70.278837,28.3820539
10,Skardu Airport ,Skardu,KDU,49180,75.5375531,35.3372552
11,Turbat Airport ,Turbat,TUK,44627,63.0304178,25.9816603
12,Gilgit Airport ,Gilgit,GIL,45137,74.3335016,35.9188598
13,Bahawalpur Airport ,Bahawalpur,BHV,23882,71.7237228,29.3491734
14,Gwadar International Airport ,Gwadar,GWD,26078,62.3282039,25.2319833
15,Moenjodaro Airport ,Mohenjodaro,MJD,8403,68.1365933,27.321657
16,Dera Ghazi Khan International Airport ,Dera Ghazi Khan,DEA,7205,70.63477,30.05614
17,Chitral Airport ,Chitral,CJL,5498,71.8007275,35.8877664
18,Zhob Airport ,Zhob,PZH,1835,69.4636,31.3583
19,Panjgur Airport ,Panjgur,PJG,5570,64.1339581,26.955297
20,Dalbandin Airport ,Dalbadin,DBA,4399,64.401426,28.8759393
