,name,city,country,passengers,lng,lat
0,Jinnah International Airport,Karachi,KHI,0.3107855476992559,67.1594188,24.900819
1,Islamabad International Airport,Islamabad-Rawalpindi,ISB,0.25716271745035674,73.1213604,33.5637102
2,Allama Iqbal International Airport,Lahore,LHE,0.224625680728298,74.34361,31.54972
3,Bacha Khan International Airport,Peshawar,PEW,0.07014755658186599,71.57849,34.008
4,Multan International Airport,Multan,MUX,0.04992481097689701,71.4199427,30.2062551
5,Sialkot International Airport,Sialkot,SKT,0.032519777764659856,74.5405498,32.5193818
6,Faisalabad International Airport,Faisalabad,LYP,0.0180355604558766,72.9931722,31.3656335
7,Quetta International Airport,Quetta,UET,0.018319958058232222,67.0172447,30.1957677
8,Sukkur Airport,Sukkur,SKZ,0.004682029973556275,68.7942765,27.7210023
9,Shaikh Zayed International Airport ,Rahim Yar Khan,RYK,0.0026999012487481005,70.278837,28.3820539
10,Skardu Airport ,Skardu,KDU,0.002460276883702642,75.5375531,35.3372552
11,Turbat Airport ,Turbat,TUK,0.002232508672000768,63.0304178,25.9816603
12,Gilgit Airport ,Gilgit,GIL,0.0022580219133730406,74.3335016,35.9188598
13,Bahawalpur Airport ,Bahawalpur,BHV,0.00119472005971099,71.7237228,29.3491734
14,Gwadar International Airport ,Gwadar,GWD,0.0013045770755021856,62.3282039,25.2319833
15,Moenjodaro Airport ,Mohenjodaro,MJD,0.00042036817108079093,68.1365933,27.321657
16,Dera Ghazi Khan International Airport ,Dera Ghazi Khan,DEA,0.0003604370668376888,70.63477,30.05614
17,Chitral Airport ,Chitral,CJL,0.00027504274718578945,71.8007275,35.8877664
18,Zhob Airport ,Zhob,PZH,9.179764297670491e-05,69.4636,31.3583
19,Panjgur Airport ,Panjgur,PJG,0.00027864461655599255,64.1339581,26.955297
20,Dalbandin Airport ,Dalbadin,DBA,0.00022006421332671657,64.401426,28.8759393
