,name,city,country,passengers,distance
0,Hartsfield–Jackson Atlanta International Airport,Atlanta,United States,0.06310217693173799,5446.626612536325
1,Los Angeles International Airport,Los Angeles,United States,0.05143312191759464,6332.070177116138
2,O'Hare International Airport,Chicago,United States,0.048913059243824816,4666.383896386637
3,Dallas/Fort Worth International Airport,Dallas-Fort Worth,United States,0.04060892393866398,5892.9430101162325
4,Denver International Airport,Denver,United States,0.03789550050934367,5364.38361895799
5,John F. Kennedy International Airport,New York City,United States,0.03620865322326487,4450.74898431002
6,San Francisco International Airport,San Francisco,United States,0.0339259689895172,6050.892418972803
7,McCarran International Airport,Las Vegas,United States,0.02929836562462123,6022.915566256986
8,Seattle–Tacoma International Airport,Seattle-Tacoma,United States,0.02929039221540158,5032.090392791207
9,Toronto Pearson International Airport,Toronto,Canada,0.029089381217548976,4267.167647821812
10,Orlando International Airport,Orlando,United States,0.028025403498001842,5931.779126234868
11,Charlotte Douglas International Airport,Charlotte,United States,0.02729152727045297,5200.4175690505035
12,Newark Liberty International Airport,Newark,United States,0.026941211981551662,4452.143059408997
13,Miami International Airport,Miami,United States,0.02646696629281325,6202.334301361779
14,Phoenix Sky Harbor International Airport,Phoenix,United States,0.026407840848735414,6225.925215364047
15,George Bush Intercontinental Airport,Houston,United States,0.0257402678962907,6159.079421686041
16,Logan International Airport,Boston,United States,0.024099127576297903,4207.522246185044
17,Minneapolis–Saint Paul International Airport,Minneapolis-Saint Paul,United States,0.0223909906412688,4492.609754717046
18,Fort Lauderdale-Hollywood International Airport,Fort Lauderdale,United States,0.02113122077579898,6163.528371582427
19,Detroit Metropolitan Airport,Detroit,United States,0.020704232666774482,4499.327309973367
20,Philadelphia International Airport ,Philadelphia,United States,0.01862143951061614,4558.905695227801
21,LaGuardia Airport,New York City,United States,0.017682562055147556,4450.74898431002
22,Baltimore–Washington International Airport,Baltimore-Washington,United States,0.01594132753957803,4663.719101276166
23,Vancouver International Airport,Vancouver,Canada,0.015286131880074503,4864.81780244417
24,Salt Lake City International Airport,Salt Lake City,United States,0.015015065932993387,5448.599359100846
25,San Diego International Airport,San Diego,United States,0.01424184854005752,6444.29072435228
26,Dulles International Airport,Washington,United States,0.014046175084529992,4715.123784785667
27,Ronald Reagan Washington National Airport,Washington,United States,0.013767242079523906,4715.123784785667
28,Midway International Airport,Chicago,United States,0.012942974302414815,4666.383896386637
29,Tampa International Airport,Tampa,United States,0.012509139167772292,6021.903212302873
30,Portland International Airport,Portland,United States,0.011682653290456558,5242.887598272505
31,Montréal-Trudeau International Airport,Montréal,Canada,0.01141395468794036,3931.9965903795746
32,Calgary International Airport,Calgary,Canada,0.010190570479502715,4438.734912884863
33,Dallas Love Field,Dallas,United States,0.009535863095832755,5875.878457958335
34,Nashville International Airport,Nashville,United States,0.009398886153747076,5249.753797399663
35,Austin–Bergstrom International Airport,Austin,United States,0.009295403993722268,6168.465613081122
36,St. Louis Lambert International Airport,St. Louis,United States,0.009185335691918312,5077.788228352792
37,William P. Hobby Airport,Houston,United States,0.008506028842486394,6159.079421686041
38,San Jose International Airport,San Jose,United States,0.008413675375948698,6083.487992187101
39,Oakland International Airport,Oakland,United States,0.007987658530405409,6044.197461431153
40,Louis Armstrong New Orleans International Airport,New Orleans,United States,0.0077106228089933,5998.630966550369
41,Raleigh–Durham International Airport,Raleigh,United States,0.0075219726519478985,5087.8477474235215
42,Sacramento International Airport,Sacramento,United States,0.007080741695503777,5941.083966610483
43,Kansas City International Airport,Kansas City,United States,0.006963271108559871,5145.278252917383
44,John Wayne Airport,Orange County,United States,0.006265935070587373,6354.0812097309035
45,Indira Gandhi International Airport,Delhi,Delhi,0.2007904514429472,7367.811522367367
46,Chhatrapati Shivaji Maharaj International Airport,Mumbai,Maharashtra,0.13686162537428614,8283.248910359713
47,Kempegowda International Airport,Bengaluru,Karnataka,0.09655000640088217,9064.688855711622
48,Chennai International Airport,Chennai,Tamil Nadu,0.06643206043924513,9123.01394330633
49,Netaji Subhas Chandra Bose International Airport,Kolkata,West Bengal,0.06568222235431033,8297.344408708233
50,Rajiv Gandhi International Airport,Hyderabad,Telangana,0.06459769282246224,8611.674818532141
51,Sardar Vallabhbhai Patel International Airport,Ahmedabad,Gujarat,0.03410998175993968,7851.250150180356
52,Cochin International Airport,Kochi,Kerala,0.028713895919456923,9358.630404439265
